date,time,latitude,longitude,elevation,heart_rate
2019-1-28,13:56:10,49.4093310,32.0976080,90.4,97
2019-1-28,13:56:11,49.4093450,32.0975930,90.4,98
2019-1-28,13:56:12,49.4093580,32.0975700,90.2,98
2019-1-28,13:56:13,49.4093690,32.0975460,90.2,97
2019-1-28,13:56:14,49.4093800,32.0975210,90.2,97
2019-1-28,13:56:15,49.4093920,32.0974950,89.8,97
2019-1-28,13:56:16,49.4094050,32.0974690,89.8,97
2019-1-28,13:56:17,49.4094110,32.0974390,89.3,98
2019-1-28,13:56:18,49.4094130,32.0974110,89.1,98
2019-1-28,13:56:19,49.4094050,32.0973840,89.3,98
2019-1-28,13:56:20,49.4093980,32.0973570,89.1,99
2019-1-28,13:56:21,49.4093880,32.0973290,88.9,99
2019-1-28,13:56:22,49.4093810,32.0973080,89.1,99
2019-1-28,13:56:23,49.4093630,32.0972850,88.8,99
2019-1-28,13:56:24,49.4093420,32.0972610,89.0,99
2019-1-28,13:56:25,49.4093210,32.0972330,88.9,99
2019-1-28,13:56:26,49.4092980,32.0972040,88.9,99
2019-1-28,13:56:27,49.4092760,32.0971760,89.0,99
2019-1-28,13:56:28,49.4092560,32.0971490,89.1,99
2019-1-28,13:56:29,49.4092390,32.0971250,89.1,99
2019-1-28,13:56:30,49.4092220,32.0971000,88.9,99
2019-1-28,13:56:31,49.4092040,32.0970760,88.9,99
2019-1-28,13:56:32,49.4091850,32.0970540,88.6,100
2019-1-28,13:56:33,49.4091640,32.0970290,88.4,102
2019-1-28,13:56:34,49.4091460,32.0970020,88.4,102
2019-1-28,13:56:35,49.4091260,32.0969770,88.4,102
2019-1-28,13:56:36,49.4091030,32.0969530,88.4,102
2019-1-28,13:56:37,49.4090780,32.0969280,88.5,102
2019-1-28,13:56:38,49.4090540,32.0968990,88.5,102
2019-1-28,13:56:39,49.4090320,32.0968690,88.6,102
2019-1-28,13:56:40,49.4090130,32.0968440,88.5,102
2019-1-28,13:56:41,49.4089960,32.0968180,88.5,104
2019-1-28,13:56:42,49.4089850,32.0967870,88.6,104
2019-1-28,13:56:43,49.4089770,32.0967540,88.5,104
2019-1-28,13:56:44,49.4089760,32.0967170,88.4,104
2019-1-28,13:56:45,49.4089800,32.0966830,88.3,104
2019-1-28,13:56:46,49.4089890,32.0966520,88.3,104
2019-1-28,13:56:47,49.4089940,32.0966220,88.3,105
2019-1-28,13:56:48,49.4089920,32.0965950,88.3,105
2019-1-28,13:56:49,49.4089890,32.0965690,88.3,105
2019-1-28,13:56:50,49.4089860,32.0965480,88.3,106
2019-1-28,13:56:51,49.4089850,32.0965260,88.3,106
2019-1-28,13:56:52,49.4089860,32.0965090,88.3,106
2019-1-28,13:56:53,49.4089810,32.0964920,88.3,106
2019-1-28,13:56:54,49.4089630,32.0964800,88.3,107
2019-1-28,13:56:55,49.4089400,32.0964550,88.3,107
2019-1-28,13:56:56,49.4089220,32.0964370,88.3,107
2019-1-28,13:56:57,49.4089060,32.0964200,88.3,107
2019-1-28,13:56:58,49.4088860,32.0963990,88.3,107
2019-1-28,13:56:59,49.4088620,32.0963730,88.3,107
2019-1-28,13:57:0,49.4088340,32.0963450,88.3,107
2019-1-28,13:57:1,49.4088110,32.0963160,88.3,107
2019-1-28,13:57:2,49.4087890,32.0962860,88.2,107
2019-1-28,13:57:3,49.4087670,32.0962570,88.1,107
2019-1-28,13:57:4,49.4087450,32.0962260,88.1,107
2019-1-28,13:57:5,49.4087240,32.0961940,88.1,106
2019-1-28,13:57:6,49.4087030,32.0961620,88.2,106
2019-1-28,13:57:7,49.4086840,32.0961260,88.1,105
2019-1-28,13:57:8,49.4086670,32.0960810,87.9,105
2019-1-28,13:57:9,49.4086590,32.0960340,87.7,105
2019-1-28,13:57:10,49.4086590,32.0959860,87.4,105
2019-1-28,13:57:11,49.4086670,32.0959410,87.1,105
2019-1-28,13:57:12,49.4086810,32.0959020,86.9,105
2019-1-28,13:57:13,49.4086970,32.0958650,86.7,105
2019-1-28,13:57:14,49.4087130,32.0958300,86.9,105
2019-1-28,13:57:15,49.4087290,32.0957960,86.7,104
2019-1-28,13:57:16,49.4087450,32.0957640,86.8,104
2019-1-28,13:57:17,49.4087610,32.0957300,86.8,104
2019-1-28,13:57:18,49.4087770,32.0956950,86.8,104
2019-1-28,13:57:19,49.4087930,32.0956600,86.8,104
2019-1-28,13:57:20,49.4088080,32.0956230,86.8,104
2019-1-28,13:57:21,49.4088240,32.0955880,86.8,101
2019-1-28,13:57:22,49.4088400,32.0955540,86.8,101
2019-1-28,13:57:23,49.4088580,32.0955210,86.8,98
2019-1-28,13:57:24,49.4088750,32.0954860,86.8,98
2019-1-28,13:57:25,49.4088910,32.0954510,86.8,98
2019-1-28,13:57:26,49.4089130,32.0954140,86.8,98
2019-1-28,13:57:27,49.4089300,32.0953740,86.8,98
2019-1-28,13:57:28,49.4089480,32.0953360,86.8,98
2019-1-28,13:57:29,49.4089650,32.0952980,86.8,98
2019-1-28,13:57:30,49.4089830,32.0952620,86.8,98
2019-1-28,13:57:31,49.4090020,32.0952310,86.8,95
2019-1-28,13:57:32,49.4090200,32.0952000,86.8,95
2019-1-28,13:57:33,49.4090380,32.0951680,86.8,95
2019-1-28,13:57:34,49.4090570,32.0951360,86.8,95
2019-1-28,13:57:35,49.4090760,32.0951040,86.8,95
2019-1-28,13:57:36,49.4090970,32.0950720,86.8,95
2019-1-28,13:57:37,49.4091150,32.0950400,86.8,95
2019-1-28,13:57:38,49.4091350,32.0950080,86.8,95
2019-1-28,13:57:39,49.4091550,32.0949720,86.8,95
2019-1-28,13:57:40,49.4091710,32.0949350,86.8,95
2019-1-28,13:57:41,49.4091870,32.0948970,86.8,93
2019-1-28,13:57:42,49.4092050,32.0948570,86.8,93
2019-1-28,13:57:43,49.4092240,32.0948190,86.8,93
2019-1-28,13:57:44,49.4092410,32.0947790,86.8,93
2019-1-28,13:57:45,49.4092570,32.0947400,86.8,93
2019-1-28,13:57:46,49.4092760,32.0947030,86.8,93
2019-1-28,13:57:47,49.4092960,32.0946670,86.8,93
2019-1-28,13:57:48,49.4093120,32.0946320,86.8,93
2019-1-28,13:57:49,49.4093280,32.0945990,86.8,93
2019-1-28,13:57:50,49.4093450,32.0945630,86.8,93
2019-1-28,13:57:51,49.4093610,32.0945250,86.8,93
2019-1-28,13:57:52,49.4093780,32.0944870,86.9,93
2019-1-28,13:57:53,49.4093970,32.0944470,86.9,93
2019-1-28,13:57:54,49.4094180,32.0944090,86.9,93
2019-1-28,13:57:55,49.4094390,32.0943730,86.9,93
2019-1-28,13:57:56,49.4094600,32.0943380,86.9,93
2019-1-28,13:57:57,49.4094810,32.0943010,86.9,93
2019-1-28,13:57:58,49.4095030,32.0942640,87.0,93
2019-1-28,13:57:59,49.4095250,32.0942270,87.0,93
2019-1-28,13:58:0,49.4095470,32.0941900,87.1,90
2019-1-28,13:58:1,49.4095720,32.0941570,87.2,90
2019-1-28,13:58:2,49.4096000,32.0941250,87.3,90
2019-1-28,13:58:3,49.4096300,32.0940970,87.4,90
2019-1-28,13:58:4,49.4096570,32.0940620,87.5,90
2019-1-28,13:58:5,49.4096820,32.0940230,87.6,90
2019-1-28,13:58:6,49.4097040,32.0939830,87.7,90
2019-1-28,13:58:7,49.4097220,32.0939410,87.8,90
2019-1-28,13:58:8,49.4097400,32.0939010,87.8,90
2019-1-28,13:58:9,49.4097570,32.0938630,87.7,85
2019-1-28,13:58:10,49.4097760,32.0938290,87.7,85
2019-1-28,13:58:11,49.4097980,32.0938000,87.6,80
2019-1-28,13:58:12,49.4098200,32.0937740,87.6,80
2019-1-28,13:58:13,49.4098420,32.0937480,87.6,80
2019-1-28,13:58:14,49.4098620,32.0937180,87.6,80
2019-1-28,13:58:15,49.4098790,32.0936860,87.6,75
2019-1-28,13:58:16,49.4098950,32.0936570,87.5,75
2019-1-28,13:58:17,49.4099110,32.0936270,87.5,75
2019-1-28,13:58:18,49.4099260,32.0935960,87.5,75
2019-1-28,13:58:19,49.4099450,32.0935670,87.5,75
2019-1-28,13:58:20,49.4099630,32.0935360,87.5,75
2019-1-28,13:58:21,49.4099820,32.0935040,87.4,75
2019-1-28,13:58:22,49.4099980,32.0934700,87.4,75
2019-1-28,13:58:23,49.4100130,32.0934380,87.4,75
2019-1-28,13:58:24,49.4100270,32.0934090,87.3,75
