date,time,latitude,longitude,elevation,heart_rate
2019-1-27,13:10:0,49.4097400,32.0998320,85.8,85
2019-1-27,13:10:1,49.4097560,32.0998370,85.8,85
2019-1-27,13:10:2,49.4097730,32.0998530,85.9,85
2019-1-27,13:10:3,49.4097700,32.0998590,85.9,86
2019-1-27,13:10:4,49.4097890,32.0998890,85.9,86
2019-1-27,13:10:5,49.4098000,32.0999130,85.9,86
2019-1-27,13:10:6,49.4098120,32.0999350,85.9,86
2019-1-27,13:10:7,49.4098300,32.0999620,85.9,86
2019-1-27,13:10:8,49.4098490,32.0999830,85.9,86
2019-1-27,13:10:9,49.4098680,32.1000040,85.9,86
2019-1-27,13:10:10,49.4098860,32.1000250,85.9,87
2019-1-27,13:10:11,49.4099040,32.1000490,85.9,88
2019-1-27,13:10:12,49.4099200,32.1000720,85.9,88
2019-1-27,13:10:13,49.4099360,32.1000940,86.0,91
2019-1-27,13:10:14,49.4099510,32.1001180,86.0,93
2019-1-27,13:10:15,49.4099680,32.1001400,86.0,97
2019-1-27,13:10:16,49.4099870,32.1001610,86.0,100
2019-1-27,13:10:17,49.4100060,32.1001830,86.0,104
2019-1-27,13:10:18,49.4100280,32.1002050,86.0,107
2019-1-27,13:10:19,49.4100500,32.1002300,86.0,108
2019-1-27,13:10:20,49.4100710,32.1002550,86.0,109
2019-1-27,13:10:21,49.4100910,32.1002820,86.2,110
2019-1-27,13:10:22,49.4101080,32.1003080,86.3,111
2019-1-27,13:10:23,49.4101290,32.1003340,86.5,111
2019-1-27,13:10:24,49.4101500,32.1003570,86.6,112
2019-1-27,13:10:25,49.4101700,32.1003830,86.8,112
2019-1-27,13:10:26,49.4101900,32.1004090,86.9,112
2019-1-27,13:10:27,49.4102110,32.1004330,87.0,114
2019-1-27,13:10:28,49.4102330,32.1004560,87.0,114
2019-1-27,13:10:29,49.4102550,32.1004790,87.0,114
2019-1-27,13:10:30,49.4102770,32.1004990,87.0,115
2019-1-27,13:10:31,49.4102980,32.1005210,87.0,115
2019-1-27,13:10:32,49.4103180,32.1005460,87.0,116
2019-1-27,13:10:33,49.4103360,32.1005730,87.0,116
2019-1-27,13:10:34,49.4103540,32.1005970,87.0,117
2019-1-27,13:10:35,49.4103680,32.1006250,87.0,117
2019-1-27,13:10:36,49.4103770,32.1006540,87.0,117
2019-1-27,13:10:37,49.4103750,32.1006820,87.0,117
2019-1-27,13:10:38,49.4103620,32.1007110,87.0,118
2019-1-27,13:10:39,49.4103420,32.1007410,87.1,118
2019-1-27,13:10:40,49.4103190,32.1007710,87.4,119
2019-1-27,13:10:41,49.4102970,32.1008020,87.4,121
2019-1-27,13:10:42,49.4102780,32.1008360,87.5,121
2019-1-27,13:10:43,49.4102610,32.1008690,87.5,121
2019-1-27,13:10:44,49.4102420,32.1009030,87.5,122
2019-1-27,13:10:45,49.4102240,32.1009350,87.6,123
2019-1-27,13:10:46,49.4102050,32.1009680,87.6,123
2019-1-27,13:10:47,49.4101860,32.1010010,87.6,124
2019-1-27,13:10:48,49.4101670,32.1010330,87.5,127
2019-1-27,13:10:49,49.4101440,32.1010640,87.5,126
2019-1-27,13:10:50,49.4101250,32.1010920,87.5,127
2019-1-27,13:10:51,49.4101020,32.1011210,87.5,128
2019-1-27,13:10:52,49.4100800,32.1011490,87.5,130
2019-1-27,13:10:53,49.4100550,32.1011700,87.4,130
2019-1-27,13:10:54,49.4100280,32.1011920,87.4,132
2019-1-27,13:10:55,49.4100000,32.1012070,87.4,132
2019-1-27,13:10:56,49.4099730,32.1012170,87.4,132
2019-1-27,13:10:57,49.4099530,32.1012380,87.4,132
2019-1-27,13:10:58,49.4099320,32.1012610,87.4,132
2019-1-27,13:10:59,49.4099160,32.1012880,87.4,133
2019-1-27,13:11:0,49.4099010,32.1013200,87.4,133
2019-1-27,13:11:1,49.4098850,32.1013520,87.4,133
2019-1-27,13:11:2,49.4098700,32.1013850,87.4,134
2019-1-27,13:11:3,49.4098580,32.1014160,87.4,135
2019-1-27,13:11:4,49.4098450,32.1014500,87.4,135
2019-1-27,13:11:5,49.4098300,32.1014850,87.3,135
2019-1-27,13:11:6,49.4098190,32.1015170,87.3,136
2019-1-27,13:11:7,49.4098070,32.1015490,87.3,137
2019-1-27,13:11:8,49.4097930,32.1015810,87.3,138
2019-1-27,13:11:9,49.4097770,32.1016150,87.2,138
2019-1-27,13:11:10,49.4097620,32.1016490,87.2,139
2019-1-27,13:11:11,49.4097460,32.1016830,87.1,138
2019-1-27,13:11:12,49.4097280,32.1017190,87.1,138
2019-1-27,13:11:13,49.4097160,32.1017590,87.1,138
2019-1-27,13:11:14,49.4097010,32.1018060,86.7,139
2019-1-27,13:11:15,49.4096810,32.1018510,86.4,140
2019-1-27,13:11:16,49.4096640,32.1018980,86.1,140
2019-1-27,13:11:17,49.4096440,32.1019440,85.8,140
2019-1-27,13:11:18,49.4096190,32.1019920,85.7,140
2019-1-27,13:11:19,49.4095980,32.1020380,85.7,140
2019-1-27,13:11:20,49.4095810,32.1020780,85.7,140
2019-1-27,13:11:21,49.4095640,32.1021140,85.6,140
2019-1-27,13:11:22,49.4095440,32.1021470,85.6,140
2019-1-27,13:11:23,49.4095240,32.1021800,85.6,140
2019-1-27,13:11:24,49.4095030,32.1022100,85.5,140
2019-1-27,13:11:25,49.4094820,32.1022420,85.5,140
2019-1-27,13:11:26,49.4094620,32.1022750,85.4,140
2019-1-27,13:11:27,49.4094440,32.1023080,85.4,140
2019-1-27,13:11:28,49.4094300,32.1023450,85.4,141
2019-1-27,13:11:29,49.4094170,32.1023780,85.3,142
2019-1-27,13:11:30,49.4094060,32.1024130,85.3,142
2019-1-27,13:11:31,49.4093890,32.1024430,85.3,142
2019-1-27,13:11:32,49.4093730,32.1024740,85.3,142
2019-1-27,13:11:33,49.4093590,32.1025060,85.2,143
2019-1-27,13:11:34,49.4093440,32.1025370,85.2,144
2019-1-27,13:11:35,49.4093260,32.1025650,85.2,143
2019-1-27,13:11:36,49.4093090,32.1025940,85.2,143
2019-1-27,13:11:37,49.4092900,32.1026230,85.2,143
2019-1-27,13:11:38,49.4092690,32.1026510,85.2,143
2019-1-27,13:11:39,49.4092500,32.1026820,85.2,144
2019-1-27,13:11:40,49.4092320,32.1027130,85.2,144
2019-1-27,13:11:41,49.4092180,32.1027410,85.3,144
2019-1-27,13:11:42,49.4092030,32.1027750,85.3,144
2019-1-27,13:11:43,49.4091870,32.1028060,85.3,145
2019-1-27,13:11:44,49.4091710,32.1028370,85.3,145
2019-1-27,13:11:45,49.4091550,32.1028700,85.4,147
2019-1-27,13:11:46,49.4091370,32.1029060,85.4,145
2019-1-27,13:11:47,49.4091180,32.1029400,85.5,145
2019-1-27,13:11:48,49.4090990,32.1029730,85.5,145
2019-1-27,13:11:49,49.4090810,32.1030030,85.6,145
2019-1-27,13:11:50,49.4090620,32.1030310,85.6,145
2019-1-27,13:11:51,49.4090420,32.1030580,85.7,145
2019-1-27,13:11:52,49.4090220,32.1030890,85.7,145
2019-1-27,13:11:53,49.4090040,32.1031220,85.8,145
2019-1-27,13:11:54,49.4089820,32.1031510,85.8,146
2019-1-27,13:11:55,49.4089600,32.1031780,85.8,144
2019-1-27,13:11:56,49.4089360,32.1032000,85.9,144
2019-1-27,13:11:57,49.4089120,32.1032250,85.9,144
2019-1-27,13:11:58,49.4088910,32.1032590,85.9,144
2019-1-27,13:11:59,49.4088750,32.1032960,85.9,144
2019-1-27,13:12:0,49.4088600,32.1033350,85.9,144
2019-1-27,13:12:1,49.4088430,32.1033680,85.8,145
2019-1-27,13:12:2,49.4088280,32.1034000,85.8,147
2019-1-27,13:12:3,49.4088160,32.1034320,85.8,147
2019-1-27,13:12:4,49.4088050,32.1034680,85.8,147
2019-1-27,13:12:5,49.4087960,32.1035060,85.7,147
2019-1-27,13:12:6,49.4087860,32.1035470,85.7,151
2019-1-27,13:12:7,49.4087690,32.1035890,85.7,155
2019-1-27,13:12:8,49.4087520,32.1036260,85.7,155
2019-1-27,13:12:9,49.4087360,32.1036580,85.6,154
2019-1-27,13:12:10,49.4087180,32.1036900,85.6,154
2019-1-27,13:12:11,49.4087040,32.1037210,85.6,153
2019-1-27,13:12:12,49.4086880,32.1037520,85.5,153
2019-1-27,13:12:13,49.4086720,32.1037840,85.3,152
2019-1-27,13:12:14,49.4086540,32.1038190,85.2,150
2019-1-27,13:12:15,49.4086360,32.1038500,85.2,152
2019-1-27,13:12:16,49.4086200,32.1038810,85.2,152
2019-1-27,13:12:17,49.4086030,32.1039130,85.2,152
2019-1-27,13:12:18,49.4085870,32.1039470,85.2,151
2019-1-27,13:12:19,49.4085760,32.1039830,85.2,150
2019-1-27,13:12:20,49.4085720,32.1040170,85.3,147
2019-1-27,13:12:21,49.4085710,32.1040510,85.3,147
2019-1-27,13:12:22,49.4085720,32.1040850,85.3,146
2019-1-27,13:12:23,49.4085720,32.1041230,85.3,144
2019-1-27,13:12:24,49.4085720,32.1041650,85.4,143
2019-1-27,13:12:25,49.4085720,32.1042090,85.4,143
2019-1-27,13:12:26,49.4085690,32.1042510,85.4,142
2019-1-27,13:12:27,49.4085620,32.1042820,85.5,142
2019-1-27,13:12:28,49.4085530,32.1043080,85.5,142
2019-1-27,13:12:29,49.4085470,32.1043310,85.5,142
2019-1-27,13:12:30,49.4085490,32.1043520,85.5,141
2019-1-27,13:12:31,49.4085550,32.1043740,85.6,141
2019-1-27,13:12:32,49.4085570,32.1044050,85.6,141
2019-1-27,13:12:33,49.4085530,32.1044460,85.7,141
2019-1-27,13:12:34,49.4085470,32.1044880,86.0,141
2019-1-27,13:12:35,49.4085450,32.1045340,86.1,142
2019-1-27,13:12:36,49.4085480,32.1045780,86.1,142
2019-1-27,13:12:37,49.4085530,32.1046190,86.1,142
2019-1-27,13:12:38,49.4085590,32.1046580,86.0,142
2019-1-27,13:12:39,49.4085650,32.1046990,85.9,141
2019-1-27,13:12:40,49.4085710,32.1047370,85.9,140
2019-1-27,13:12:41,49.4085750,32.1047770,85.8,140
2019-1-27,13:12:42,49.4085800,32.1048160,85.7,140
2019-1-27,13:12:43,49.4085830,32.1048560,85.6,139
2019-1-27,13:12:44,49.4085890,32.1048940,85.4,139
2019-1-27,13:12:45,49.4085950,32.1049300,85.3,139
2019-1-27,13:12:46,49.4085990,32.1049670,85.2,139
2019-1-27,13:12:47,49.4086060,32.1050040,85.3,139
2019-1-27,13:12:48,49.4086170,32.1050360,85.4,139
2019-1-27,13:12:49,49.4086320,32.1050590,85.5,139
2019-1-27,13:12:50,49.4086500,32.1050830,85.6,139
2019-1-27,13:12:51,49.4086690,32.1051100,85.8,139
2019-1-27,13:12:52,49.4086860,32.1051360,85.9,139
2019-1-27,13:12:53,49.4087010,32.1051660,86.0,138
2019-1-27,13:12:54,49.4087170,32.1052030,86.0,138
2019-1-27,13:12:55,49.4087280,32.1052470,86.0,138
2019-1-27,13:12:56,49.4087390,32.1052870,86.0,138
2019-1-27,13:12:57,49.4087530,32.1053180,86.2,138
2019-1-27,13:12:58,49.4087730,32.1053440,86.3,140
2019-1-27,13:12:59,49.4087980,32.1053710,86.4,140
2019-1-27,13:13:0,49.4088220,32.1053960,86.5,140
2019-1-27,13:13:1,49.4088450,32.1054190,86.6,140
2019-1-27,13:13:2,49.4088690,32.1054480,86.6,140
2019-1-27,13:13:3,49.4088910,32.1054780,86.6,139
2019-1-27,13:13:4,49.4089140,32.1055070,86.6,139
2019-1-27,13:13:5,49.4089360,32.1055310,86.6,139
2019-1-27,13:13:6,49.4089570,32.1055560,86.7,139
2019-1-27,13:13:7,49.4089780,32.1055840,86.7,140
2019-1-27,13:13:8,49.4089980,32.1056130,86.7,140
2019-1-27,13:13:9,49.4090180,32.1056400,86.7,139
2019-1-27,13:13:10,49.4090380,32.1056690,86.7,139
2019-1-27,13:13:11,49.4090560,32.1056980,86.8,139
2019-1-27,13:13:12,49.4090750,32.1057250,86.8,139
2019-1-27,13:13:13,49.4090960,32.1057530,86.8,140
2019-1-27,13:13:14,49.4091190,32.1057800,86.8,140
2019-1-27,13:13:15,49.4091410,32.1058070,86.8,140
2019-1-27,13:13:16,49.4091610,32.1058350,86.9,140
2019-1-27,13:13:17,49.4091830,32.1058620,86.9,141
2019-1-27,13:13:18,49.4092030,32.1058900,86.9,141
2019-1-27,13:13:19,49.4092240,32.1059200,86.9,141
2019-1-27,13:13:20,49.4092470,32.1059470,86.9,141
2019-1-27,13:13:21,49.4092680,32.1059720,86.9,140
2019-1-27,13:13:22,49.4092880,32.1059960,86.9,140
2019-1-27,13:13:23,49.4093100,32.1060230,86.9,139
2019-1-27,13:13:24,49.4093320,32.1060490,86.9,139
2019-1-27,13:13:25,49.4093560,32.1060740,87.0,139
2019-1-27,13:13:26,49.4093790,32.1061020,87.0,139
2019-1-27,13:13:27,49.4094040,32.1061320,87.0,139
2019-1-27,13:13:28,49.4094280,32.1061620,87.0,139
2019-1-27,13:13:29,49.4094530,32.1061900,87.0,139
2019-1-27,13:13:30,49.4094760,32.1062200,87.0,139
2019-1-27,13:13:31,49.4094980,32.1062530,87.0,139
2019-1-27,13:13:32,49.4095210,32.1062830,87.0,139
2019-1-27,13:13:33,49.4095420,32.1063110,86.9,139
2019-1-27,13:13:34,49.4095630,32.1063400,86.7,140
2019-1-27,13:13:35,49.4095880,32.1063700,86.6,141
2019-1-27,13:13:36,49.4096140,32.1064030,86.4,142
2019-1-27,13:13:37,49.4096390,32.1064360,86.2,142
2019-1-27,13:13:38,49.4096650,32.1064680,86.0,142
2019-1-27,13:13:39,49.4096900,32.1064980,85.9,142
2019-1-27,13:13:40,49.4097160,32.1065280,85.7,141
2019-1-27,13:13:41,49.4097400,32.1065560,85.6,141
2019-1-27,13:13:42,49.4097590,32.1065870,85.4,141
2019-1-27,13:13:43,49.4097700,32.1066230,85.3,140
2019-1-27,13:13:44,49.4097730,32.1066620,85.1,140
2019-1-27,13:13:45,49.4097760,32.1067030,85.0,140
2019-1-27,13:13:46,49.4097790,32.1067470,85.0,140
2019-1-27,13:13:47,49.4097860,32.1067900,85.0,140
2019-1-27,13:13:48,49.4097990,32.1068330,85.0,139
2019-1-27,13:13:49,49.4098200,32.1068780,85.1,139
2019-1-27,13:13:50,49.4098470,32.1069190,85.3,139
2019-1-27,13:13:51,49.4098770,32.1069620,85.6,139
2019-1-27,13:13:52,49.4099080,32.1070040,85.7,139
2019-1-27,13:13:53,49.4099380,32.1070440,85.7,139
2019-1-27,13:13:54,49.4099680,32.1070820,85.7,139
2019-1-27,13:13:55,49.4099970,32.1071170,85.6,139
2019-1-27,13:13:56,49.4100250,32.1071540,85.6,139
2019-1-27,13:13:57,49.4100530,32.1071870,85.6,139
2019-1-27,13:13:58,49.4100790,32.1072210,85.5,140
2019-1-27,13:13:59,49.4101050,32.1072540,85.5,140
2019-1-27,13:14:0,49.4101320,32.1072850,85.4,140
2019-1-27,13:14:1,49.4101590,32.1073170,85.3,141
2019-1-27,13:14:2,49.4101870,32.1073500,85.1,141
2019-1-27,13:14:3,49.4102120,32.1073870,85.0,142
2019-1-27,13:14:4,49.4102380,32.1074250,85.0,142
2019-1-27,13:14:5,49.4102650,32.1074620,85.0,144
2019-1-27,13:14:6,49.4102910,32.1074970,84.9,144
2019-1-27,13:14:7,49.4103180,32.1075330,84.8,144
2019-1-27,13:14:8,49.4103440,32.1075670,84.8,144
2019-1-27,13:14:9,49.4103710,32.1076010,84.7,144
2019-1-27,13:14:10,49.4103960,32.1076320,84.6,144
2019-1-27,13:14:11,49.4104210,32.1076620,84.5,144
2019-1-27,13:14:12,49.4104440,32.1076960,84.5,144
2019-1-27,13:14:13,49.4104640,32.1077360,84.4,144
2019-1-27,13:14:14,49.4104840,32.1077640,84.3,144
2019-1-27,13:14:15,49.4105030,32.1077900,84.3,144
2019-1-27,13:14:16,49.4105190,32.1078190,84.2,145
2019-1-27,13:14:17,49.4105320,32.1078490,84.2,145
2019-1-27,13:14:18,49.4105420,32.1078790,84.1,145
2019-1-27,13:14:19,49.4105470,32.1079050,84.0,145
2019-1-27,13:14:20,49.4105540,32.1079280,84.0,145
2019-1-27,13:14:21,49.4105540,32.1079550,84.0,145
2019-1-27,13:14:22,49.4105500,32.1079820,84.0,145
2019-1-27,13:14:23,49.4105480,32.1080050,84.0,145
2019-1-27,13:14:24,49.4105420,32.1080170,84.0,145
2019-1-27,13:14:25,49.4105350,32.1080250,84.0,145
2019-1-27,13:14:26,49.4105320,32.1080270,84.0,144
2019-1-27,13:14:27,49.4105290,32.1080260,84.0,144
2019-1-27,13:14:28,49.4105280,32.1080260,84.0,143
2019-1-27,13:14:29,49.4105290,32.1080290,84.0,143
2019-1-27,13:14:30,49.4105280,32.1080300,84.0,143
2019-1-27,13:14:31,49.4105250,32.1080280,84.0,143
2019-1-27,13:14:38,49.4106170,32.1081440,84.0,142
2019-1-27,13:14:39,49.4106420,32.1081690,84.0,141
2019-1-27,13:14:40,49.4106630,32.1082010,84.0,141
2019-1-27,13:14:41,49.4106810,32.1082360,84.0,140
2019-1-27,13:14:42,49.4106980,32.1082710,84.0,140
2019-1-27,13:14:43,49.4107190,32.1083040,84.0,138
2019-1-27,13:14:44,49.4107400,32.1083330,84.0,138
2019-1-27,13:14:45,49.4107650,32.1083580,83.9,138
2019-1-27,13:14:46,49.4107890,32.1083820,83.9,137
2019-1-27,13:14:47,49.4108140,32.1084060,83.9,137
2019-1-27,13:14:48,49.4108390,32.1084250,83.8,136
2019-1-27,13:14:49,49.4108640,32.1084460,83.8,135
2019-1-27,13:14:50,49.4108870,32.1084640,83.8,135
2019-1-27,13:14:51,49.4109100,32.1084870,83.8,136
2019-1-27,13:14:52,49.4109320,32.1085110,83.8,137
2019-1-27,13:14:53,49.4109540,32.1085390,83.8,137
2019-1-27,13:14:54,49.4109770,32.1085670,83.9,137
2019-1-27,13:14:55,49.4109990,32.1085970,83.9,137
2019-1-27,13:14:56,49.4110200,32.1086260,83.9,137
2019-1-27,13:14:57,49.4110410,32.1086580,83.9,137
2019-1-27,13:14:58,49.4110620,32.1086930,84.0,137
2019-1-27,13:14:59,49.4110830,32.1087260,84.0,138
2019-1-27,13:15:0,49.4111050,32.1087550,84.0,138
2019-1-27,13:15:1,49.4111260,32.1087860,84.0,137
2019-1-27,13:15:2,49.4111490,32.1088110,84.1,137
2019-1-27,13:15:3,49.4111710,32.1088390,84.1,137
2019-1-27,13:15:4,49.4111910,32.1088720,84.1,138
2019-1-27,13:15:5,49.4112130,32.1089020,84.1,137
2019-1-27,13:15:6,49.4112350,32.1089300,84.2,137
2019-1-27,13:15:7,49.4112560,32.1089530,84.2,137
2019-1-27,13:15:8,49.4112770,32.1089750,84.2,137
2019-1-27,13:15:9,49.4112970,32.1089990,84.2,137
2019-1-27,13:15:10,49.4113100,32.1090270,84.2,137
2019-1-27,13:15:11,49.4113190,32.1090580,84.3,137
2019-1-27,13:15:12,49.4113290,32.1090830,84.3,136
2019-1-27,13:15:13,49.4113360,32.1090960,84.3,136
2019-1-27,13:15:14,49.4113480,32.1090960,84.2,136
2019-1-27,13:15:15,49.4113620,32.1090980,84.2,136
2019-1-27,13:15:16,49.4113770,32.1091110,84.2,136
2019-1-27,13:15:17,49.4113950,32.1091300,84.2,136
2019-1-27,13:15:18,49.4114110,32.1091590,84.1,136
2019-1-27,13:15:19,49.4114300,32.1091870,84.1,136
2019-1-27,13:15:20,49.4114470,32.1092110,84.1,136
2019-1-27,13:15:21,49.4114660,32.1092380,84.1,136
2019-1-27,13:15:22,49.4114830,32.1092680,84.0,137
2019-1-27,13:15:23,49.4114980,32.1093000,84.0,137
2019-1-27,13:15:24,49.4115150,32.1093240,83.9,138
2019-1-27,13:15:25,49.4115330,32.1093460,83.8,139
2019-1-27,13:15:26,49.4115510,32.1093740,83.8,139
2019-1-27,13:15:27,49.4115670,32.1094030,83.7,140
2019-1-27,13:15:28,49.4115790,32.1094280,83.6,142
2019-1-27,13:15:29,49.4115910,32.1094480,83.6,145
2019-1-27,13:15:30,49.4116050,32.1094670,83.6,146
2019-1-27,13:15:31,49.4116190,32.1094910,83.6,146
2019-1-27,13:15:32,49.4116340,32.1095160,83.5,146
2019-1-27,13:15:33,49.4116480,32.1095420,83.5,147
2019-1-27,13:15:34,49.4116620,32.1095650,83.5,147
2019-1-27,13:15:35,49.4116770,32.1095860,83.5,147
2019-1-27,13:15:36,49.4116900,32.1096110,83.6,148
2019-1-27,13:15:37,49.4117010,32.1096380,83.6,148
2019-1-27,13:15:38,49.4117130,32.1096610,83.6,148
2019-1-27,13:15:39,49.4117270,32.1096830,83.6,149
2019-1-27,13:15:40,49.4117400,32.1097010,83.7,149
2019-1-27,13:15:41,49.4117550,32.1097190,83.7,150
2019-1-27,13:15:42,49.4117700,32.1097440,83.7,151
