date,time,latitude,longitude,elevation,heart_rate,cadence,temperature
2019-1-25,13:4:52,49.4093540,32.0972200,88.6,91,63,
2019-1-25,13:4:52,49.4093460,32.0972050,88.7,91,62,
2019-1-25,13:4:53,49.4093330,32.0971900,88.5,91,62,
2019-1-25,13:4:54,49.4093000,32.0971450,88.6,91,62,
2019-1-25,13:4:55,49.4093000,32.0971450,88.6,91,62,
2019-1-25,13:4:56,49.4092840,32.0971260,88.8,91,62,
2019-1-25,13:4:57,49.4092660,32.0971070,88.8,91,62,
2019-1-25,13:4:58,49.4092440,32.0970930,88.8,91,81,
2019-1-25,13:4:59,49.4092070,32.0970570,88.6,91,84,
2019-1-25,13:5:0,49.4091930,32.0970370,88.6,91,84,
2019-1-25,13:5:1,49.4091780,32.0970170,88.4,92,85,
2019-1-25,13:5:2,49.4091780,32.0970170,88.4,93,85,
2019-1-25,13:5:3,49.4091650,32.0969980,88.4,93,87,
2019-1-25,13:5:4,49.4091450,32.0969590,88.3,95,89,
2019-1-25,13:5:5,49.4091450,32.0969590,88.3,95,89,
2019-1-25,13:5:6,49.4091380,32.0969410,88.3,96,89,
2019-1-25,13:5:7,49.4091120,32.0968970,88.3,98,89,
2019-1-25,13:5:8,49.4090940,32.0968830,88.4,98,89,
2019-1-25,13:5:9,49.4090750,32.0968690,88.4,99,89,
2019-1-25,13:5:10,49.4090320,32.0968050,88.3,101,90,
2019-1-25,13:5:11,49.4090320,32.0968050,88.3,102,90,
2019-1-25,13:5:12,49.4090180,32.0967740,88.4,102,90,
2019-1-25,13:5:13,49.4090020,32.0967070,88.3,103,88,
2019-1-25,13:5:14,49.4090020,32.0967070,88.3,103,88,
2019-1-25,13:5:15,49.4090030,32.0966700,88.3,103,88,
2019-1-25,13:5:16,49.4090150,32.0965990,88.3,103,88,
2019-1-25,13:5:17,49.4090150,32.0965990,88.3,103,88,
2019-1-25,13:5:18,49.4090140,32.0965630,88.3,104,88,
2019-1-25,13:5:19,49.4090060,32.0965090,88.3,104,88,
2019-1-25,13:5:20,49.4090060,32.0965090,88.3,104,88,
2019-1-25,13:5:21,49.4089930,32.0964820,88.3,105,87,
2019-1-25,13:5:22,49.4089500,32.0964220,88.3,105,87,
2019-1-25,13:5:23,49.4089330,32.0964090,88.3,105,87,
2019-1-25,13:5:24,49.4089160,32.0963960,88.3,105,87,
2019-1-25,13:5:25,49.4088640,32.0963370,88.3,105,87,
2019-1-25,13:5:26,49.4088380,32.0963110,88.3,106,87,
2019-1-25,13:5:27,49.4088110,32.0962850,88.1,106,87,
2019-1-25,13:5:28,49.4088110,32.0962850,88.1,106,87,
2019-1-25,13:5:29,49.4087810,32.0962580,88.2,106,87,
2019-1-25,13:5:30,49.4087320,32.0962020,88.1,107,87,
2019-1-25,13:5:31,49.4087090,32.0961770,88.2,107,87,
2019-1-25,13:5:32,49.4086850,32.0961520,88.2,108,86,
2019-1-25,13:5:33,49.4086850,32.0961520,88.2,109,86,
2019-1-25,13:5:34,49.4086600,32.0961280,88.2,109,87,
2019-1-25,13:5:35,49.4086100,32.0960760,87.9,110,88,
2019-1-25,13:5:36,49.4086100,32.0960760,87.9,110,88,
2019-1-25,13:5:37,49.4085900,32.0960420,87.7,110,90,
2019-1-25,13:5:38,49.4085860,32.0959530,87.0,110,90,
2019-1-25,13:5:39,49.4085860,32.0959530,87.0,110,90,
2019-1-25,13:5:40,49.4086000,32.0959120,86.7,110,92,
2019-1-25,13:5:41,49.4086370,32.0958410,86.6,110,93,
2019-1-25,13:5:42,49.4086370,32.0958410,86.6,110,93,
2019-1-25,13:5:43,49.4086570,32.0958080,86.6,111,89,
2019-1-25,13:5:44,49.4086890,32.0957420,86.6,111,89,
2019-1-25,13:5:45,49.4086890,32.0957420,86.6,113,89,
2019-1-25,13:5:46,49.4087060,32.0957100,86.7,113,89,
2019-1-25,13:5:47,49.4087390,32.0956370,86.8,114,88,
2019-1-25,13:5:48,49.4087390,32.0956370,86.8,114,88,
2019-1-25,13:5:49,49.4087560,32.0956000,86.8,114,88,
2019-1-25,13:5:50,49.4087820,32.0955270,86.8,114,88,
2019-1-25,13:5:51,49.4087980,32.0954930,86.8,114,88,
2019-1-25,13:5:52,49.4088140,32.0954580,86.8,123,89,
2019-1-25,13:5:53,49.4088140,32.0954580,86.8,123,89,
2019-1-25,13:5:54,49.4088290,32.0954210,86.8,125,89,
2019-1-25,13:5:55,49.4088580,32.0953490,86.8,125,90,
2019-1-25,13:5:56,49.4088580,32.0953490,86.8,126,89,
2019-1-25,13:5:57,49.4088740,32.0953140,86.8,126,89,
2019-1-25,13:5:58,49.4089080,32.0952400,86.8,127,89,
