,data_time,latitude,longitude,elevation,heart_rate,cadence,temperature,speed,distance_2d,distance_3d,distance_points_2d,uphill_gain,downhill_loss,grade,slope,slope_points,summary,icon,precipIntensity,precipProbability,precipAccumulation,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2019-01-27 13:10:00,49.40974,32.099832,85.8,85,0.0,,6.543,0.0,0.0,0.0,0.0,0.0,0.9,1.3,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
1,2019-01-27 13:10:00,49.409756,32.099837,85.8,85,0.0,,7.27,1.8,1.8,1.82,0.0,0.0,1.0,1.2,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
2,2019-01-27 13:10:01,49.409773,32.099853,85.9,85,81.0,,4.985,5.8,5.8,2.22,0.1,0.0,1.0,1.2,4.5,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
3,2019-01-27 13:10:02,49.40977,32.099859,85.9,86,81.0,,6.445,9.7,9.7,0.55,0.1,0.0,0.9,1.1,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
4,2019-01-27 13:10:03,49.409789,32.099889000000005,85.9,86,81.0,,9.286,16.5,16.5,3.03,0.1,0.0,0.9,1.1,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
5,2019-01-27 13:10:04,49.4098,32.099913,85.9,86,81.0,,7.57,25.4,25.4,2.13,0.1,0.0,0.9,1.1,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
6,2019-01-27 13:10:05,49.409812,32.099934999999995,85.9,86,80.0,,8.783,36.3,36.3,2.08,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
7,2019-01-27 13:10:06,49.40983,32.099962,85.9,86,80.0,,9.729,50.1,50.1,2.8,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
8,2019-01-27 13:10:07,49.409849,32.099983,85.9,86,82.0,,9.379,66.4,66.4,2.61,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
9,2019-01-27 13:10:08,49.409867999999996,32.100004,85.9,86,82.0,,9.218,85.4,85.4,2.61,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
10,2019-01-27 13:10:09,49.409886,32.100025,85.9,87,83.0,,9.303,106.8,106.8,2.52,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
11,2019-01-27 13:10:10,49.409904,32.100049,85.9,88,83.0,,9.165,130.9,130.9,2.65,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
12,2019-01-27 13:10:11,49.40992,32.100072,85.9,88,84.0,,8.695,157.4,157.4,2.44,0.1,0.0,0.9,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
13,2019-01-27 13:10:12,49.409936,32.100094,86.0,91,84.0,,8.644,186.3,186.3,2.39,0.2,0.0,0.9,1.0,4.2,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
14,2019-01-27 13:10:13,49.409951,32.100118,86.0,93,84.0,,8.792,217.6,217.7,2.41,0.2,0.0,1.0,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
15,2019-01-27 13:10:14,49.409968,32.10014,86.0,97,84.0,,9.142,251.4,251.4,2.47,0.2,0.0,1.3,1.0,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
16,2019-01-27 13:10:15,49.409987,32.100161,86.0,100,85.0,,9.456,287.8,287.8,2.61,0.2,0.0,1.4,0.9,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
17,2019-01-27 13:10:16,49.410006,32.100183,86.0,104,85.0,,10.026,326.8,326.9,2.65,0.2,0.0,1.5,0.9,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
18,2019-01-27 13:10:17,49.410028000000004,32.100204999999995,86.0,107,85.0,,10.742,368.8,368.8,2.92,0.2,0.0,1.6,0.9,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
19,2019-01-27 13:10:18,49.41005,32.100229999999996,86.0,108,86.0,,10.805,413.7,413.7,3.05,0.2,0.0,1.6,0.9,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
20,2019-01-27 13:10:19,49.410071,32.100255,86.0,109,86.0,,10.669,461.7,461.7,2.96,0.2,0.0,1.8,0.8,0.0,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
21,2019-01-27 13:10:20,49.410090999999994,32.100282,86.2,110,86.0,,10.155,512.5,512.6,2.96,0.4,0.0,1.6,0.8,6.8,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
22,2019-01-27 13:10:21,49.410108,32.100308,86.3,111,86.0,,10.224,566.1,566.1,2.67,0.5,0.0,1.5,0.6,3.7,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
23,2019-01-27 13:10:22,49.410129,32.100334000000004,86.5,111,86.0,,10.585,622.6,622.6,3.0,0.7,0.0,1.1,0.5,6.7,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
24,2019-01-27 13:10:23,49.41015,32.100357,86.6,112,86.0,,10.431,682.0,682.1,2.87,0.8,0.0,1.0,0.4,3.5,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
25,2019-01-27 13:10:24,49.41017,32.100383,86.8,112,86.0,,10.513,744.4,744.4,2.92,1.0,0.0,0.8,0.1,6.8,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
26,2019-01-27 13:10:25,49.41019,32.100409,86.9,112,87.0,,10.499,809.6,809.6,2.92,1.1,0.0,0.7,-0.3,3.4,Overcast,cloudy,0.033,0.08,0.048,snow,-6.08,-12.93,-8.4,0.84,1005,5.61,8.22,314,1,0,16.09,403.83
